senseval2.d000.s000.t000	5) The study and creation of visual works of art
senseval2.d001.s073.t016	1) A single person or thing.
senseval2.d001.s074.t000	The most suitable definition of "found" is:7) Find out, learn, or determine with certainty, usually by making
senseval2.d001.s074.t001	3) Indicating exactness or preciseness
senseval2.d001.s074.t002	4) Having the same or similar characteristics
senseval2.d001.s074.t003	7) An outstanding characteristic.
senseval2.d001.s075.t000	7) Speak, pronounce, or utter in a certain way.
senseval2.d001.s075.t002	2) Give rise to; cause to happen or occur, not always intentionally.
senseval2.d001.s075.t003	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s075.t004	3) Give a promotion to or assign to a higher position
senseval2.d001.s075.t005	2) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism
senseval2.d001.s075.t007	2) Be excited or anxious about
senseval2.d001.s075.t009	5) control and refrain from showing; of emotions, desires, impulses, or behavior.
senseval2.d001.s075.t010	2) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism
senseval2.d001.s076.t001	2) Be comparable
senseval2.d001.s076.t003	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort
senseval2.d001.s076.t004	2) Characteristic of humanity
senseval2.d001.s076.t008	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort
senseval2.d001.s076.t009	2) Having the same or similar characteristics
senseval2.d001.s076.t010	1) Produce quickly or regularly, usually with machineryIn the given sentence, "turned out" means "came out"
senseval2.d001.s076.t011	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s076.t012	9) the legislative hall where members debate and vote and conduct other business.
senseval2.d001.s076.t014	6) Observe with care or pay close attention to
senseval2.d001.s076.t015	2) Being unjustly brought into disrepute
senseval2.d001.s076.t016	The most suitable dictionary definition which identifies the meaning of "form" is:6) (physical chemistry) a distinct state of
senseval2.d001.s077.t000	4) The act of discovering something
senseval2.d001.s077.t001	2) On impulse; without premeditation
senseval2.d001.s077.t002	The most suitable dictionary definition which identifies the meaning of "puts" is:4) EstimateAccording to dictionary definitions, "
senseval2.d001.s077.t005	1) In the right manner
senseval2.d001.s077.t006	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s077.t007	3) Natural process that causes something to form.
senseval2.d001.s077.t008	7) Speak, pronounce, or utter in a certain way.
senseval2.d001.s077.t009	4) A person who exercises control and makes decisions
senseval2.d001.s078.t000	1) An indication that makes something evident
senseval2.d001.s078.t001	2) At the present moment
senseval2.d001.s078.t002	4) Become known or apparent.
senseval2.d001.s078.t004	3) Highly complex or intricate and occasionally devious.The word "involved" typically means connected or associated with something.
senseval2.d001.s078.t005	2) Belonging to the distant past
senseval2.d001.s078.t006	3) The fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22
senseval2.d001.s078.t007	2) In addition
senseval2.d001.s079.t001	7) Find out, learn, or determine with certainty, usually by making an inquiry or other effort.
senseval2.d001.s079.t002	3) The part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
senseval2.d001.s079.t004	1) A reproduction of a written record (e.g. of a legal or school record).
senseval2.d001.s079.t007	1) A small piece or quantity of something
senseval2.d001.s080.t001	2) Report or maintain
senseval2.d001.s080.t004	2) In many cases or instances.
senseval2.d001.s080.t005	1) Arrive at after reckoning, deliberating, and weighing.
senseval2.d001.s080.t007	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d001.s080.t008	2) Established beyond doubt or question; definitely known.
senseval2.d001.s080.t009	3) Primary social group; parents and children
senseval2.d001.s080.t011	3) Receive by genetic transmission
senseval2.d001.s080.t012	2) Being unjustly brought into disrepute
senseval2.d001.s080.t013	2) The branch of biology that deals with the structure of animals and plants
senseval2.d001.s080.t014	2) An adult female person (as opposed to a man).
senseval2.d001.s080.t015	4) Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body
senseval2.d001.s081.t002	The most suitable dictionary definition which identifies the meaning of "implicated" is:2) Bring into intimate and incriminating
senseval2.d001.s082.t000	3) A written document describing the findings of some individual or group.
senseval2.d001.s082.t001	2) Occurring at the time of death.
senseval2.d001.s082.t002	2) A period of seven consecutive days
senseval2.d001.s082.t004	7) Speak, pronounce, or utter in a certain way.
senseval2.d001.s082.t005	2) In or to a reversed position or direction.
senseval2.d001.s082.t006	5) (biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as
senseval2.d001.s082.t007	The most suitable dictionary definition which identifies the meaning of "taken" among the given options is:4) Buy, select
senseval2.d001.s082.t010	3) A soft thin (usually translucent) paper.
senseval2.d001.s082.t011	2) Show a certain characteristic when tested
senseval2.d001.s082.t012	4) Fail to reach
senseval2.d001.s083.t000	3) A written document describing the findings of some individual or group.
senseval2.d001.s083.t003	2) Used after a superlative
senseval2.d001.s083.t007	2) Part of an organism consisting of an aggregate of cells having a similar structure and function.
senseval2.d001.s083.t008	3) Take into one's possession
senseval2.d001.s083.t010	3) The capacity for rational thought or inference or discrimination
senseval2.d001.s084.t000	2) Overlapping in duration
senseval2.d001.s084.t001	2) Two or more draft animals that work together to pull something.In this context, the definition 2) "Two
senseval2.d001.s084.t002	3) Cause to occur rapidly
senseval2.d001.s084.t003	3) Very unusual; different in character or quality from the normal or expected
senseval2.d001.s085.t000	2) Expect and wish.
senseval2.d001.s085.t004	2) Entangled or hindered as if e.g. in mire
senseval2.d001.s086.t001	1) Not far distant in time or space or degree or circumstances.This definition is most suitable because it describes "close"
senseval2.d001.s086.t002	The most suitable definition which identifies the meaning of "finding" is:7) Find out, learn, or determine with certainty
senseval2.d001.s086.t004	1) Connected by participation or association or use
senseval2.d001.s086.t005	3) (biology) the taxonomic group whose characteristics are used to define the next higher taxon
senseval2.d001.s086.t008	11) Use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at
senseval2.d001.s087.t000	2) Expect, believe, or suppose
senseval2.d001.s087.t001	3) any group of human beings (men or women or children) collectively.
senseval2.d001.s087.t002	3) Receive by genetic transmission
senseval2.d001.s087.t006	3) Material suitable for a journalistic account
senseval2.d001.s087.t008	2) To a distinctly greater extent or degree than is common
senseval2.d001.s088.t001	5) Announce as the result of an investigation or experience or finding.
senseval2.d001.s088.t005	3) Highly complex or intricate and occasionally devious.
senseval2.d001.s088.t008	The most suitable definition for "other" is:4) the ground on which people and animals move about.This definition is
senseval2.d001.s088.t009	2) Comparative of much; to a greater degree or extent
senseval2.d001.s088.t010	1) Having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual
senseval2.d001.s088.t011	2) A small zodiacal constellation in the northern hemisphere; between Leo and Gemini
senseval2.d001.s089.t000	The most suitable definition is:2) Something that is discoveredIn the sentence, "discoveries" refers to the outcomes
senseval2.d001.s089.t003	The most suitable dictionary definition which identifies the meaning of "only" among the given options is:5) Never except when
senseval2.d001.s089.t004	2) Talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason
senseval2.d001.s090.t001	8) Of greater importance or stature or rank.
