senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval2.d002.s075.t008	The most suitable dictionary definition for "learning" in the given sentence is:4) Gain knowledge or skillsThis definition best
senseval2.d002.s075.t010	3) The fundamental assumptions from which something is begun or developed or calculated or explained
senseval2.d002.s075.t011	1) Of or pertaining to or of the nature of mathematics
senseval2.d002.s075.t013	3) Interpret something that is written or printed
senseval2.d002.s075.t014	2) Nonfictional prose forming an independent part of a publication
senseval2.d002.s075.t015	1) Of the immediate past or just previous to the present time
senseval2.d002.s075.t017	4) The principal field of study of a student at a university
senseval2.d002.s076.t000	The most suitable dictionary definition for "most" in the given sentence is:2) Used to form the superlative
senseval2.d002.s076.t001	2) Of great significance or value
senseval2.d002.s076.t002	The most suitable dictionary definition for "schools" in the given sentence is:11) A building where young people receive
senseval2.d002.s076.t003	7) The educator who has executive authority for a school
senseval2.d002.s076.t004	2) Above average in size or number or quantity or magnitude or extent
senseval2.d002.s076.t005	3) A basis for comparison; a reference point against which other things can be evaluated
senseval2.d002.s076.t006	1) The power or right to give orders or make decisions
senseval2.d002.s076.t007	2) The body of teachers and administrators at a school
senseval2.d002.s076.t009	4) A vaguely specified concern
senseval2.d002.s076.t010	1) A learner who is enrolled in an educational institution
senseval2.d002.s077.t000	The most suitable dictionary definition for "study" in the given sentence is:9) Applying the mind to learning and understanding
senseval2.d002.s077.t001	The most suitable dictionary definition for "study" in the given sentence is:9) Applying the mind to learning and understanding
senseval2.d002.s077.t002	2) Used to form the superlative
senseval2.d002.s077.t004	2) Give evidence
senseval2.d002.s077.t005	1) (superlative of `good') having the most positive qualities
senseval2.d002.s077.t006	The most suitable dictionary definition which identifies the meaning of "schools" in the given sentence is:11) A building
senseval2.d002.s077.t007	3) Relating to or being on or near the outer side or limit
senseval2.d002.s077.t008	5) The act of hindering or obstructing or impeding
senseval2.d002.s077.t009	2) Direct or strongly influence the behavior of
senseval2.d002.s077.t010	6) Having great influence
senseval2.d002.s077.t011	The most suitable dictionary definition which identifies the meaning of "head" in the given sentence is:4) A person who rules
senseval2.d002.s078.t000	1) The power or right to give orders or make decisions
senseval2.d002.s078.t002	2) Be present or associated with an event or entity
senseval2.d002.s078.t003	The most suitable dictionary definition for "unambiguous" in the given sentence is:1) Admitting of no doubt or
senseval2.d002.s079.t000	The most suitable dictionary definition for "schools" in the given sentence is:11) A building where young people receive
senseval2.d002.s079.t002	3) How something is done or how it happens
senseval2.d002.s079.t003	6) Cause to happen, occur or exist
senseval2.d002.s079.t004	1) A learner who is enrolled in an educational institution
senseval2.d002.s079.t005	2) Standing above others in quality or position
senseval2.d002.s079.t006	1) A state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
senseval2.d002.s079.t007	2) Of high or superior quality or performance
senseval2.d002.s079.t008	3) Associated with academia or an academy
senseval2.d002.s079.t009	The most suitable dictionary definition for "performance" in the given sentence is:5) Process or manner of functioning or operating
senseval2.d002.s080.t000	2) A piece of information about circumstances that exist or events that have occurred
senseval2.d002.s080.t001	2) Discompose
senseval2.d002.s080.t002	2) A piece of information about circumstances that exist or events that have occurred
senseval2.d002.s080.t004	1) A single person or thing
senseval2.d002.s080.t005	The most suitable dictionary definition which identifies the meaning of "so" in the given sentence is:2) (usually followed by
senseval2.d002.s081.t000	1) Prepare and issue for public distribution or sale
senseval3.d000.s000.t000	11) An adult person who is male (as opposed to a woman)
senseval3.d000.s001.t002	1) Indistinct or hazy in outline
senseval3.d000.s001.t003	5) The organ of sight
senseval3.d000.s002.t000	7) Have or possess, either in a concrete or an abstract sense
senseval3.d000.s002.t001	1) Completely prepared or in condition for immediate action or use or progress
senseval3.d000.s002.t002	2) A statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
senseval3.d000.s002.t004	2) A sudden unexpected event
senseval3.d000.s002.t005	4) Violent uncontrollable contractions of musclesIn the given sentence, "fit of coughing" refers to a
senseval3.d000.s003.t000	11) An adult person who is male (as opposed to a woman)
senseval3.d000.s003.t001	1) As if under the influence of alcohol
senseval3.d000.s003.t002	2) Affected with madness or insanity
senseval3.d000.s004.t002	The most suitable dictionary definition for "matched" in the given sentence is:2) Be compatible, similar or consistent; coincide
senseval3.d000.s004.t003	4) Any liquid suitable for drinking
senseval3.d000.s004.t004	4) Any liquid suitable for drinking
senseval3.d000.s004.t005	3) Fail to perceive or to catch with the senses or the mind
senseval3.d000.s004.t006	1) The total number counted
senseval3.d000.s004.t007	11) An adult person who is male (as opposed to a woman)
senseval3.d000.s004.t008	5) The organ of sight
senseval3.d000.s005.t000	2) An informal term for a youth or man
senseval3.d000.s005.t002	The most suitable dictionary definition which identifies the meaning of "thought" in the sentence "The guy is off his rocker
senseval3.d000.s005.t004	5) The organ of sight
senseval3.d000.s006.t000	5) The organ of sight
senseval3.d000.s006.t002	9) Emitting or reflecting light readily or in large amounts
senseval3.d000.s006.t003	1) Being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
senseval3.d000.s006.t004	4) High level or degree; the property of being intense
senseval3.d000.s006.t005	The most suitable dictionary definition which identifies the meaning of "cold" in the given sentence is:9) Extended meanings;
senseval3.d000.s006.t006	2) Feelings of great warmth and intensity
senseval3.d000.s006.t007	The most suitable dictionary definition for "burning" in the given sentence is:14) Shine intensely, as if
senseval3.d000.s007.t000	1) Discover or determine the existence, presence, or fact of
senseval3.d000.s008.t000	11) An adult person who is male (as opposed to a woman)
senseval3.d000.s008.t001	1) As if under the influence of alcohol
senseval3.d000.s009.t000	1) Have a wish or desire to know something
senseval3.d000.s009.t001	The most suitable dictionary definition for "got" in the sentence "He wondered how he got tied up with this stranger" is
senseval3.d000.s009.t003	1) An individual that one is not acquainted with
senseval3.d000.s010.t000	1) Recall knowledge from memory; have a recollection
senseval3.d000.s011.t001	3) A period of time equal to 1/24th of a day
senseval3.d000.s011.t002	The most suitable dictionary definition for "steady" in the given sentence is:2) Marked by firm determination or resolution;
senseval3.d000.s011.t003	2) The act of consuming liquids
senseval3.d000.s011.t004	3) An opportunity to do something
senseval3.d000.s012.t000	1) An individual that one is not acquainted with
senseval3.d000.s012.t001	The most suitable dictionary definition which identifies the meaning of "head" in the given sentence is:24) The upper part
senseval3.d000.s012.t003	2) The process of using your mind to consider something carefully
senseval3.d000.s012.t004	The most suitable dictionary definition for "started" in the given sentence is:13) Take the first step or steps
senseval3.d000.s012.t005	1) Travel across or pass over
senseval3.d000.s012.t006	1) The part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel
senseval3.d000.s012.t007	17) (physics) electromagnetic radiation that can produce a visual sensation
senseval3.d000.s012.t010	1) Make a loud noise, as of animal
senseval3.d000.s012.t011	5) A junction where one street or road crosses another
senseval3.d000.s013.t000	3) A restraint used to slow or stop a vehicleIn the context of the sentence, "brakes" refers
senseval3.d000.s013.t001	3) Cry loudly, as of animals
