senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval3.d000.s059.t000	3) The act of killing yourself.This definition accurately captures the meaning of "suicide" in the given sentence.
senseval3.d000.s059.t001	11) Give a certain impression or have a certain outward aspectIn the sentence "Maybe suicide, if it looks reasonable",
senseval3.d000.s060.t000	1) A source of difficulty
senseval3.d000.s061.t001	12) Decrease rapidly and disappear.In this sentence, Haney's eyebrows "flew up" means they rose quickly
senseval3.d000.s063.t000	1) Change one's facial expression by spreading the lips, often to signal pleasureThis definition accurately describes the action of smiling
senseval3.d000.s064.t001	11) Express in words
senseval3.d000.s065.t000	1) A unit of time equal to 60 seconds or 1/60th of an hour
senseval3.d000.s065.t001	10) Reach a destination, either real or abstract
senseval3.d000.s065.t003	Both definitions 1) and 2) are suitable, but definition 1) An individual that one is not acquainted with
senseval3.d000.s065.t004	6) Rise to one's feetThis definition accurately describes the action of standing up, which is what the stranger did in
senseval3.d000.s065.t005	1) Express or signify by nodding.
senseval3.d000.s065.t006	All three options (1, 2, and 3) seem suitable in the given context, but the most suitable one
senseval3.d000.s066.t000	2) Observe or determine by lookingThis definition most accurately captures the meaning of "watched" in the given sentence
senseval3.d000.s066.t001	5) Not large but sufficient in size or amount.In the given sentence, "small" is used to describe Haney
senseval3.d000.s066.t002	3) Lean and sinewy.In this context, "wiry" is used to describe Haney's physical appearance
senseval3.d000.s066.t003	12) The generic use of the word to refer to any human being.This definition is the most suitable because it describes "
senseval3.d000.s066.t004	The most suitable dictionary definition for "slip" in this context is:3) Pass on stealthilyThis definition best
senseval3.d000.s066.t005	1) A swinging or sliding barrier that will close the entrance to a room or building or vehicle.This definition best matches the
senseval3.d000.s066.t006	6) Be conscious of a physical, mental, or emotional state.This definition best captures the meaning of "felt" in
senseval3.d000.s066.t008	13) See or watch.In this context, "see" means to observe or watch, which is the most suitable definition
senseval3.d000.s066.t009	The correct answer is: 4) Give a certain impression or have a certain outward aspect.The sentence implies that Haney
senseval3.d000.s066.t010	5) Observe with care or pay close attention to.This definition best fits the context of the sentence, where Haney
senseval3.d000.s066.t011	2) The act of departing.The sentence implies that Haney watched someone leaving, which directly matches the definition of "departure
senseval3.d000.s067.t000	1) Reach, make, or come to a decision about something.
senseval3.d000.s067.t001	1) Continue in a place, position, or situation.In the sentence, "Phil decided to stay a little longer,"
senseval3.d000.s067.t002	8) The continuum of experience in which events pass from the future through the present to the past.This definition captures the meaning
senseval3.d000.s067.t003	12) Pass into a specified state or condition.In the given sentence, "passed" is used to describe the time that
senseval3.d000.s067.t004	3) Seem to be true, probable, or apparentIn this context, "seemed" is used to indicate
senseval3.d000.s067.t005	1) Being definitely out of the ordinary and unexpected; slightly odd or even a bit weirdThis definition best captures the meaning
senseval3.d000.s067.t006	5) Small in a way that arouses feelings (of tenderness or its opposite depending on the context)In this sentence
senseval3.d000.s067.t007	12) The generic use of the word to refer to any human being.In this sentence, "man" is used as
senseval3.d000.s067.t008	4) Recently pastIn the sentence, "the other glass on the table" implies that the glass was placed on the
senseval3.d000.s067.t009	3) A mirror; usually a ladies' dressing mirror.In the given sentence, "glass" refers to a mirror,
senseval3.d000.s067.t010	4) A piece of furniture with tableware for a meal laid out on it
senseval3.d000.s068.t002	8) Go or come back to place, condition, or activity where one has been before.In this context, "returned
senseval3.d000.s068.t005	6) Put into a certain place or abstract location.In this context, "putting the whole incident out of mind"
senseval3.d000.s068.t006	5) Including all components without exception; being one unit or constituting the full amount or extent or duration; completeIn
senseval3.d000.s068.t007	1) A single distinct eventThis definition best fits the context of the sentence, as the speaker is referring to a specific
senseval3.d000.s068.t008	2) That which is responsible for one's thoughts and feelings; the seat of the faculty of reasonThis definition best captures
senseval3.d000.s069.t000	2) Immediately following in time or order.
senseval3.d000.s069.t001	6) The time after sunrise and before sunset while it is light outside.This definition is the most suitable because the sentence mentions
senseval3.d000.s069.t002	3) Disagreeable aftereffects from the use of drugs (especially alcohol).
senseval3.d000.s069.t003	2) Put in the mind of someoneIn this context, "reminded" means to cause someone to think of or
senseval3.d000.s069.t004	1) The time after sunset and before sunrise while it is dark outside
senseval3.d000.s070.t000	3) Disagreeable aftereffects from the use of drugs (especially alcohol).
senseval3.d000.s070.t001	2) Put in the mind of someone.The sentence indicates that the hangover brought back a memory or association with the conversation
senseval3.d000.s071.t000	20) Enter or assume a certain state or conditionIn this sentence, "went" is used to describe the action of
senseval3.d000.s071.t002	6) The time after sunrise and before sunset while it is light outside.
senseval3.d000.s071.t003	The most suitable dictionary definition for "passed" in the given sentence is:1) Go across or throughThis definition best
senseval3.d000.s071.t007	2) Having life or vigor or spiritThis definition best captures the meaning of "alive" in the given sentence, which
senseval3.d000.s071.t009	2) Any occupant who dwells in a place.This definition accurately describes "tenants" in the given sentence,
senseval3.d000.s071.t010	4) An onerous or difficult concern.This definition best fits the context of the sentence, as the landlord is portrayed
senseval3.d000.s071.t011	15) The condition of living or the state of being alive
senseval3.d000.s072.t001	3) Give little or no attention to.This definition best captures the meaning of "ignored" in the sentence, as Phil
senseval3.d000.s074.t001	2) Having life or vigor or spiritThis definition best fits the context of the sentence, as it implies the person is
senseval3.d000.s075.t001	2) Send via the postal service.The sentence implies that Haney sent a physical check through the postal service, so the
senseval3.d000.s075.t003	5) A written order directing a bank to pay money.
senseval3.d000.s075.t005	5) Activity involved in maintaining something in good working order.In this context, "maintenance" refers to the act of performing
senseval3.d000.s075.t007	3) Feel or express a desire or hope concerning the future or fortune of
senseval3.d000.s075.t008	1) An individual that one is not acquainted with.This definition is more suitable to describe the meaning of "stranger"
senseval3.d000.s075.t009	The most suitable dictionary definition for the meaning of "do" in the given sentence is:7) Behave in a certain
